TAMBON_E,AM_ID,AMPHOE_E,CH_ID,CHANGWAT_E,LAT,LONG
Phon Ngam,3410,Boontharik,34,Ubon Ratchathani,14.759,105.464
Tha Kat,5102,Mae Tha,51,Lamphun,18.342,99.052
Kham Khuean Kaeo,3702,Chanuman,37,Amnat Charoen,16.15,104.922
Na Mong,4703,Kut Bak,47,Sakon Nakhon,17.093,103.906
Pak Chom,4204,Pak Chom,42,Loei,17.96,101.902
Pong Nok,3609,Thep Sathit,36,Chaiyaphum,15.808,101.469
Nong Wa,2707,Khao Chakan,27,Sa kaeo,13.672,102.037
Chang Khoeng,5003,Mae Chaem,50,Chiang Mai,18.552,98.401
Ban Pin,5403,Long,54,Phrae,18.065,99.937
Na Rai Luang,5513,Song Khwae,55,Nan,19.339,100.704
Wang Kaeo,5207,Wang Nuea,52,Lampang,19.329,99.636
Nong Pet,7104,Si Sawat,71,Kanchanaburi,14.464,99.232
Bong Ti,7102,Sai Yok,71,Kanchanaburi,14.134,98.916
Phrathat,6304,Mae Ramat,63,Tak,17.004,98.668
Hua Mueang,5213,Mueang Pan,52,Lampang,18.946,99.531
Ta Khli,6007,Takhli,60,Nakhon Sawan,15.271,100.339
Ao Tong,9207,Wang Wiset,92,Trang,7.862,99.365
Hua Na Kham,4109,Si That,41,Udon Thani,17.083,103.284
Bo Weru,2202,Khlung,22,Chanthaburi,12.723,102.367
Lamphun,8412,Ban Na San,84,Surat Thani,8.845,99.461
Mae Na Wang,5010,Mae Ai,50,Chiang Mai,19.98,99.382
Kong Koi,5806,Sop Moei,58,Mae Hong Son,18.015,98.16
Tha Mai,6206,Phran Kratai,62,Kamphaeng Phet,16.679,99.434
Tha Sopsao,5102,Mae Tha,51,Lamphun,18.417,99.135
Dong Yen,4901,Mueang Mukdahan,49,Mukdahan,16.371,104.697
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.127,98.294
Khlong Thom Nuea,8104,Khlong Thom,81,Krabi,7.93,99.263
Tham Wua Daeng,3605,Nong Bua Daeng,36,Chaiyaphum,16.161,101.44
Huai Thap Mon,2107,Khao Chamao,21,Rayong,13.027,101.686
Wang Khuang,6206,Phran Kratai,62,Kamphaeng Phet,16.779,99.398
